"LeadDate","LeadCount"
"01/06/2021",23
"02/06/2021",16
"03/06/2021",20
"04/06/2021",23
"05/06/2021",22
"06/06/2021",11
"07/06/2021",22
"08/06/2021",31
"09/06/2021",40
"10/06/2021",30
"11/06/2021",16
"12/06/2021",11
"13/06/2021",15
"14/06/2021",27
"15/06/2021",32
"16/06/2021",33
"17/06/2021",22
"18/06/2021",22
"19/06/2021",9
"20/06/2021",9
"21/06/2021",44
"22/06/2021",33
"23/06/2021",19
"24/06/2021",15
"25/06/2021",17
"26/06/2021",15
"27/06/2021",6
"28/06/2021",21
"29/06/2021",22
"30/06/2021",23
"01/07/2021",24
"02/07/2021",23
"03/07/2021",19
"04/07/2021",10
"05/07/2021",22
"06/07/2021",20
"07/07/2021",22
"08/07/2021",27
"09/07/2021",27
"10/07/2021",19
"11/07/2021",12
"12/07/2021",30
"13/07/2021",32
"14/07/2021",27
"15/07/2021",25
"16/07/2021",26
"17/07/2021",14
"18/07/2021",18
"19/07/2021",34
"20/07/2021",96
"21/07/2021",39
"22/07/2021",27
"23/07/2021",50
"24/07/2021",15
"25/07/2021",18
"26/07/2021",60
"27/07/2021",20
"28/07/2021",44
"29/07/2021",30
"30/07/2021",47
"31/07/2021",10
"01/08/2021",7
"02/08/2021",29
"03/08/2021",19
"04/08/2021",27
"05/08/2021",34
"06/08/2021",41
"07/08/2021",11
"08/08/2021",10
"09/08/2021",68
"10/08/2021",28
"11/08/2021",37
"12/08/2021",29
"13/08/2021",23
"14/08/2021",28
"15/08/2021",16
"16/08/2021",49
"17/08/2021",38
"18/08/2021",27
"19/08/2021",29
"20/08/2021",34
"21/08/2021",14
"22/08/2021",17
"23/08/2021",46
"24/08/2021",23
"25/08/2021",39
"26/08/2021",29
"27/08/2021",44
"28/08/2021",22
"29/08/2021",15
"30/08/2021",34
"31/08/2021",30
"01/09/2021",44
"02/09/2021",21
"03/09/2021",19
"04/09/2021",12
"05/09/2021",12
"06/09/2021",50
"07/09/2021",22
"08/09/2021",56
"09/09/2021",60
"10/09/2021",49
"11/09/2021",18
"12/09/2021",8
"13/09/2021",32
"14/09/2021",70
"15/09/2021",25
"16/09/2021",35
"17/09/2021",28
"18/09/2021",16
"19/09/2021",14
"20/09/2021",80
"21/09/2021",33
"22/09/2021",36
"23/09/2021",63
"24/09/2021",39
"25/09/2021",17
"26/09/2021",17
"27/09/2021",63
"28/09/2021",28
"29/09/2021",22
"30/09/2021",34
"01/10/2021",14
"02/10/2021",11
"03/10/2021",18
"04/10/2021",25
"05/10/2021",22
"06/10/2021",43
"07/10/2021",25
"08/10/2021",24
"09/10/2021",12
"10/10/2021",16
"11/10/2021",44
"12/10/2021",12
"13/10/2021",44
"14/10/2021",40
"15/10/2021",27
"16/10/2021",23
"17/10/2021",15
"18/10/2021",46
"19/10/2021",29
"20/10/2021",24
"21/10/2021",26
"22/10/2021",9
"23/10/2021",25
"24/10/2021",11
"25/10/2021",49
"26/10/2021",33
"27/10/2021",58
"28/10/2021",29
"29/10/2021",43
"30/10/2021",22
"31/10/2021",21
"01/11/2021",49
"02/11/2021",43
"03/11/2021",77
"04/11/2021",30
"05/11/2021",32
"06/11/2021",20
"07/11/2021",23
"08/11/2021",46
"09/11/2021",41
"10/11/2021",23
"11/11/2021",33
"12/11/2021",20
"13/11/2021",16
"14/11/2021",20
"15/11/2021",20
"16/11/2021",30
"17/11/2021",57
"18/11/2021",38
"19/11/2021",17
"20/11/2021",10
"21/11/2021",18
"22/11/2021",49
"23/11/2021",62
"24/11/2021",41
"25/11/2021",44
"26/11/2021",46
"27/11/2021",18
"28/11/2021",9
"29/11/2021",30
"30/11/2021",55
"01/12/2021",27
"02/12/2021",28
"03/12/2021",42
"04/12/2021",12
"05/12/2021",17
"06/12/2021",44
"07/12/2021",26
"08/12/2021",33
"09/12/2021",26
"10/12/2021",31
"11/12/2021",7
"12/12/2021",21
"13/12/2021",41
"14/12/2021",29
"15/12/2021",28
"16/12/2021",20
"17/12/2021",33
"18/12/2021",11
"19/12/2021",7
"20/12/2021",31
"21/12/2021",45
"22/12/2021",28
"23/12/2021",27
"24/12/2021",13
"25/12/2021",10
"26/12/2021",6
"27/12/2021",76
"28/12/2021",29
"29/12/2021",37
"30/12/2021",54
"31/12/2021",12
"01/01/2022",6
"02/01/2022",14
"03/01/2022",32
"04/01/2022",38
"05/01/2022",36
"06/01/2022",37
"07/01/2022",74
"08/01/2022",13
"09/01/2022",13
"10/01/2022",33
"11/01/2022",174
"12/01/2022",36
"13/01/2022",71
"14/01/2022",45
"15/01/2022",17
"16/01/2022",13
"17/01/2022",61
